n_estimators,learning_rate,max_depth,min_samples_split,subsample,precision,recall,f1,roc_auc
300,0.1,5,5,0.8,0.708474576,0.150359712,0.248071217,0.862148421
300,0.1,5,5,1,0.72,0.142446043,0.237837838,0.864493531
300,0.1,5,2,1,0.744274809,0.14028777,0.236077482,0.865817975
300,0.1,5,2,0.8,0.693661972,0.141726619,0.235364397,0.861576469
200,0.1,5,5,0.8,0.693181818,0.131654676,0.221281741,0.857815479
200,0.1,5,2,0.8,0.684210526,0.130935252,0.219806763,0.858505937
200,0.1,5,5,1,0.742738589,0.128776978,0.219497241,0.861015873
200,0.1,5,2,1,0.760869565,0.125899281,0.216049383,0.861344326
300,0.05,5,2,0.8,0.77184466,0.114388489,0.19924812,0.859417345
300,0.05,5,2,1,0.816753927,0.112230216,0.197343454,0.858275302
300,0.05,5,5,0.8,0.766169154,0.110791367,0.193588938,0.857211199
300,0.05,5,5,1,0.788659794,0.110071942,0.193181818,0.857579642
200,0.05,5,5,0.8,0.79787234,0.107913669,0.190114068,0.854136093
100,0.1,5,2,0.8,0.705607477,0.108633094,0.188279302,0.850748856
100,0.1,5,5,0.8,0.704225352,0.107913669,0.187149095,0.850047765
100,0.1,5,5,1,0.758974359,0.10647482,0.186750789,0.853288998
200,0.05,5,2,0.8,0.788043478,0.104316547,0.184243964,0.855919339
200,0.05,5,5,1,0.773480663,0.100719424,0.178230426,0.85246938
200,0.05,5,2,1,0.816568047,0.099280576,0.177036562,0.853446431
100,0.1,5,2,1,0.71875,0.099280576,0.174462705,0.854304611
300,0.1,3,2,1,0.813333333,0.087769784,0.158441558,0.844217003
300,0.1,3,2,0.8,0.785714286,0.08705036,0.156735751,0.843253437
300,0.1,3,5,1,0.811188811,0.083453237,0.151337247,0.843855543
300,0.1,3,5,0.8,0.777027027,0.082733813,0.149544863,0.844366718
100,0.05,5,5,0.8,0.824817518,0.081294964,0.14800262,0.844895736
100,0.05,5,2,1,0.8,0.08057554,0.146405229,0.845276372
100,0.05,5,5,1,0.787234043,0.079856115,0.145003266,0.845436906
200,0.1,3,5,0.8,0.769230769,0.079136691,0.143509459,0.838936529
100,0.05,5,2,0.8,0.792307692,0.074100719,0.135526316,0.844784068
200,0.1,3,5,1,0.766917293,0.073381295,0.133946159,0.839819401
200,0.1,3,2,1,0.766917293,0.073381295,0.133946159,0.839841741
200,0.1,3,2,0.8,0.75,0.071223022,0.130091984,0.83939822
300,0.05,3,5,0.8,0.791304348,0.065467626,0.120930233,0.837823053
300,0.05,3,5,1,0.737704918,0.064748201,0.119047619,0.837948161
300,0.05,3,2,1,0.725806452,0.064748201,0.118890357,0.837438736
300,0.05,3,2,0.8,0.771929825,0.063309353,0.117021277,0.836378394
100,0.1,3,2,1,0.747747748,0.05971223,0.110592938,0.833270256
100,0.1,3,5,1,0.747747748,0.05971223,0.110592938,0.833269658
100,0.1,3,5,0.8,0.707964602,0.057553957,0.106453759,0.827745964
100,0.1,3,2,0.8,0.707964602,0.057553957,0.106453759,0.830568747
300,0.01,5,5,0.8,0.886363636,0.056115108,0.105548038,0.835184649
300,0.01,5,2,0.8,0.885057471,0.055395683,0.104265403,0.835428418
200,0.05,3,5,1,0.747572816,0.055395683,0.103148024,0.832840268
300,0.01,5,2,1,0.863636364,0.054676259,0.102841678,0.833623828
300,0.01,5,5,1,0.853932584,0.054676259,0.102772143,0.832267851
200,0.05,3,2,1,0.745098039,0.054676259,0.101876676,0.83252572
200,0.05,3,2,0.8,0.745098039,0.054676259,0.101876676,0.832109654
200,0.05,3,5,0.8,0.737864078,0.054676259,0.101808439,0.831925766
200,0.01,5,5,0.8,0.925373134,0.044604317,0.085106383,0.825241151
200,0.01,5,2,0.8,0.925373134,0.044604317,0.085106383,0.824618274
200,0.01,5,5,1,0.9375,0.043165468,0.082530949,0.822345665
200,0.01,5,2,1,0.923076923,0.043165468,0.082474227,0.823924399
100,0.05,3,2,0.8,0.721518987,0.041007194,0.077603812,0.817281714
100,0.05,3,5,0.8,0.721518987,0.041007194,0.077603812,0.817282395
100,0.05,3,2,1,0.691358025,0.04028777,0.076138681,0.817814549
100,0.05,3,5,1,0.691358025,0.04028777,0.076138681,0.818679205
300,0.01,3,5,0.8,0.775510204,0.027338129,0.052814454,0.807811051
300,0.01,3,2,0.8,0.775510204,0.027338129,0.052814454,0.807812343
300,0.01,3,5,1,0.75,0.025899281,0.050069541,0.806930475
300,0.01,3,2,1,0.75,0.025899281,0.050069541,0.806930475
200,0.01,3,5,0.8,0.756756757,0.020143885,0.039243167,0.799886273
200,0.01,3,2,0.8,0.756756757,0.020143885,0.039243167,0.799886315
200,0.01,3,2,1,0.742857143,0.018705036,0.036491228,0.799125463
200,0.01,3,5,1,0.742857143,0.018705036,0.036491228,0.799125463
100,0.01,5,5,0.8,1,0.017985612,0.035335689,0.805631195
100,0.01,5,2,0.8,1,0.017985612,0.035335689,0.805684613
100,0.01,5,5,1,0.958333333,0.016546763,0.032531825,0.800766811
100,0.01,5,2,1,0.958333333,0.016546763,0.032531825,0.800752086
100,0.01,3,5,1,1,0.003597122,0.007168459,0.78843562
100,0.01,3,2,1,1,0.003597122,0.007168459,0.78843562
100,0.01,3,5,0.8,1,0.002877698,0.005738881,0.790110963
100,0.01,3,2,0.8,1,0.002877698,0.005738881,0.790110963